,n,p,d,time_aer,mem_aer,time_quimb,mem_quimb,time_qtn_sim,mem_qtn_sim,time_rdbms,mem_rdbms,best_simulation
0,10,0.5052631578947369,95,38973700,120243,573690300,264653,427278200,37890,2936199800,110786,aer
1,22,0.8636363636363636,22,30147600,110968,99087600,55541,49555600,45754,140100500,97077,aer
2,28,0.1111111111111111,18,29884000,109852,383760800,55345,305355600,63690,2159853500,109095,aer
3,26,0.75,4,27979100,106247,56198800,38237,23382200,24106,43910300,73530,qtn_sim
4,24,0.8375,80,35066400,115236,512119700,119836,258660600,61674,2045991600,111882,aer
5,12,0.8723404255319149,47,31949400,108710,176878400,76152,86853400,40642,416808500,108203,aer
6,43,0.2087912087912088,91,37307900,147566,2681471900,115401,1958325300,100578,17970718000,116470,aer
7,31,0.49473684210526314,95,37054200,130423,1332167600,118925,837719500,77890,7281262900,113032,aer
8,49,0.38333333333333336,60,40559600,145640,1899978900,113515,1308211600,112498,11450688500,115529,aer
9,47,0.8875,80,37005600,146255,704334100,121235,341231700,101314,2279125500,112547,aer
10,39,0.7640449438202247,89,37448800,128781,1187805100,128985,685889700,91546,5489653100,113525,aer
11,47,0.3,90,38290000,148574,2657522400,124833,1845473500,106818,16913941600,116565,aer
12,37,0.6666666666666666,27,29833500,112820,397946500,64371,234979300,84714,1210015800,106541,aer
13,15,0.43478260869565216,23,28902000,93074,232620800,55667,143887100,44802,902286700,104125,aer
14,44,0.7857142857142857,14,29368100,136442,193788600,60682,52766700,51938,117425500,90865,aer
15,22,0.46,50,167435700,117974,687497400,460102,464374100,60346,3795134000,115272,aer
16,33,0.8709677419354839,93,37120600,133978,998765400,167833,421959400,73578,3169194900,112841,aer
17,43,0.038461538461538464,26,46869700,144345,762820900,69244,596784100,76658,4866125300,110525,aer
18,32,0.4444444444444444,63,36118000,118395,1261919000,105012,979512400,79866,8674450100,112804,aer
19,27,0.9787234042553191,94,36725600,128916,486098700,119480,100750300,55722,377465200,110850,aer
20,39,0.55,60,34222000,122969,1247011700,106717,773670000,91002,6729087400,112986,aer
21,5,0.5,58,30375800,98591,220452000,81487,151388400,13914,478663100,82792,aer
22,35,0.5066666666666667,75,36378700,120789,1421477700,92049,959630100,85826,8439239500,113802,aer
23,2,1.0,58,26388100,92202,40625100,73229,27827800,9088,40225200,66977,aer
24,43,1.0,1,25728800,93871,364800,5927,438400,13979,5282900,47927,quimb
25,13,0.1724137931034483,58,29968700,100836,591427700,85477,430222700,43442,3600575800,109718,aer
26,31,0.9324324324324325,74,36980300,128302,425658200,103637,140288300,65874,619463000,110677,aer
27,30,0.9333333333333333,15,28777800,111195,65234600,49548,10983200,17712,24679000,65375,qtn_sim
28,2,1.0,71,26690500,91066,41167200,78181,24656900,9120,42425500,71885,qtn_sim
29,50,0.43661971830985913,71,36245400,151359,1920242500,104135,1353376200,114882,12121695600,114296,aer
30,33,0.8625,80,35564800,124262,614139300,113815,302866100,80914,2378497000,110786,aer
31,46,0.3918918918918919,74,37438400,147777,1920147200,115675,1502338400,104682,13498629100,114638,aer
32,44,0.813953488372093,86,39101000,147785,1157986300,122357,505619000,96042,3768531600,113186,aer
33,19,0.6105263157894737,95,36513700,118347,904341700,121323,555307700,54578,4874596100,111738,aer
34,8,0.6813186813186813,91,37196900,110169,352359400,123842,210720400,34082,1307213400,109357,aer
35,28,0.9625,80,42193000,120498,256564600,109426,76800500,54130,250226800,96626,aer
36,44,1.0,33,31722100,139772,181989600,76218,14367200,20224,33716000,69655,qtn_sim
37,28,0.4444444444444444,27,29902200,115745,332590700,64619,201255300,66754,1207418800,108423,aer
38,35,0.07692307692307693,52,32537200,114980,1298038000,88803,977596500,84722,8543128600,112130,aer
39,29,0.7010309278350515,97,37350400,130363,965256900,124018,581805600,72786,4802368500,113502,aer
40,32,0.14285714285714285,7,28906100,113087,213828200,44837,164619100,41498,944462200,102951,aer
41,50,0.55,60,35590400,143082,1447320900,99873,979046000,112258,8325337900,113463,aer
42,30,0.6551724137931034,29,31446700,117209,308317800,65311,212305300,67098,1508570400,109571,aer
43,47,0.8333333333333334,6,29417400,137508,130206500,50255,50710500,31688,100453500,79931,aer
44,36,0.7714285714285715,70,35511100,118114,654741000,104113,353767900,86826,2473553700,112196,aer
45,16,0.5555555555555556,9,27369900,102178,92338800,40601,55143000,26618,149253800,95895,aer
46,1,1.0,77,31861700,98073,24161300,73247,6356300,2491,5209100,35213,sqlite
47,2,1.0,6,26466200,100660,4412600,25107,3047300,8496,8717100,42338,qtn_sim
48,3,0.6,20,26667000,87207,46324000,45671,31753500,9984,52182400,68496,aer
49,8,0.8333333333333334,6,26104400,89541,20279500,31253,5878900,11040,12883100,56467,qtn_sim
50,33,0.9456521739130435,92,37455500,127061,452683900,116366,138807000,60738,724230100,108591,aer
51,50,0.5789473684210527,19,31647000,146367,434387800,67632,188623600,85866,1072036700,109565,aer
52,3,0.7796610169491526,59,35181900,95375,111768600,78210,77815300,9456,102717000,72631,aer
53,42,1.0,6,26473000,95362,37545700,50114,2530700,18648,10000800,59912,qtn_sim
54,49,0.40625,32,32757000,142458,900835300,80150,565054000,106194,4383161400,112053,aer
55,45,0.25396825396825395,63,34952300,147466,2094530200,112451,1676969900,105450,15629389100,114407,aer
56,7,0.6,60,31815300,103857,256195600,88648,161878700,27730,852726400,102907,aer
57,5,0.7361111111111112,72,35062400,104465,144784200,98014,92341700,13898,306361300,81566,aer
58,14,0.8611111111111112,36,30352100,101545,151695200,70138,67750500,45858,334609100,106791,aer
59,50,0.16666666666666666,42,33532900,142881,1613107700,81714,1132986100,79378,10015075400,107610,aer
60,22,0.8421052631578947,19,29503400,106948,111934900,51311,65742000,53922,239229800,97922,aer
61,50,0.3870967741935484,31,32606300,140682,800656000,79391,538479100,105130,4146855100,112239,aer
62,12,0.8450704225352113,71,33928500,112641,249276900,97090,129444800,40922,906213600,109362,aer
63,43,0.5555555555555556,27,32627200,143977,588523100,73441,386302900,95154,3026324100,111257,aer
64,26,0.20833333333333334,24,30688400,107736,557610900,58032,432303800,67778,3640093800,109285,aer
65,13,1.0,42,30409300,93458,82877200,66767,13131400,11776,27231400,73107,qtn_sim
66,33,0.49122807017543857,57,40749900,118723,1016262100,97031,651780600,81634,5279825300,111479,aer
67,46,0.2857142857142857,7,26865400,97910,244922800,52020,181324200,52938,1097286500,104064,aer
68,9,0.3684210526315789,19,28604900,87209,104401900,43217,71463800,35762,256591100,99469,aer
69,20,0.6923076923076923,26,33631200,98750,205923100,56865,121111900,51618,612027400,102756,aer
70,32,0.7241379310344828,29,31114200,116983,317727500,69124,155725100,64242,873068400,107222,aer
71,5,0.38461538461538464,26,27294900,89311,98595200,51902,71798700,13834,170098100,79507,aer
72,45,0.5535714285714286,56,35330600,143381,929073700,94946,560480700,102930,3987245100,110983,aer
73,29,0.6022727272727273,88,43873200,123093,1126562400,188820,716973600,73890,6091265900,113208,aer
74,39,0.6266666666666667,75,37342200,123993,1371156500,114295,742343300,89258,6304837900,112440,aer
75,16,0.46511627906976744,43,29902700,106903,409969700,75634,252424800,47234,1821844800,109164,aer
76,35,0.98,50,33326300,114011,281238800,86143,31663500,30698,60460600,78319,qtn_sim
77,11,0.18181818181818182,44,31031700,100769,442501900,73937,336402300,23410,2657698100,103346,aer
78,36,0.75,48,33153700,118626,662889300,71655,357841000,87098,2711165300,110850,aer
79,36,0.6166666666666667,60,34896000,118744,901555500,96909,552549100,86666,4449678900,111107,aer
80,25,0.3076923076923077,13,29979900,105553,213047200,45895,153434700,61898,749094400,108429,aer
81,30,1.0,41,31647200,109701,153766300,72517,15176700,17064,31306900,69994,qtn_sim
82,43,0.10526315789473684,38,32369000,146691,1081734900,81486,763636500,60114,6444516000,106546,aer
83,25,0.6153846153846154,13,27445600,111866,181840900,47643,141982000,59162,967893600,108857,aer
84,33,0.8378378378378378,37,32659900,109633,330113700,75433,129702800,68834,652958100,108912,aer
85,16,0.9285714285714286,14,27802300,95468,50193300,45114,18697900,26514,45303000,72818,qtn_sim
86,4,0.7586206896551724,29,28443900,89532,57395800,50314,36232000,11240,61431000,71585,aer
87,22,0.9565217391304348,92,36010500,121506,372736700,92512,124114700,60162,696116900,109988,aer
88,17,1.0,19,29368900,100429,50322500,46001,9453100,12768,20930700,62393,qtn_sim
89,2,1.0,82,27191600,95304,58806400,92837,39444000,9104,67152200,70772,aer
90,15,0.375,80,43308100,119559,743230400,156198,490676300,47034,4083209100,110211,aer
91,17,0.5492957746478874,71,35144000,110476,642757300,100438,467041100,50922,3726744000,111042,aer
92,41,0.3855421686746988,83,36025000,124166,1947071400,106070,1309852300,97122,11598951500,115683,aer
93,20,0.9622641509433962,53,33013500,105985,162332900,81491,48006000,41090,176065100,96682,aer
94,25,0.47619047619047616,42,39039000,111014,662786600,73163,412618800,66330,3357754000,111511,aer
95,32,0.6829268292682927,82,35477900,120676,1099951600,115291,677992400,77762,5835610000,112921,aer
96,4,0.9340659340659341,91,35165800,111534,113956500,109811,65843500,11360,166465200,75063,aer
97,35,0.8382352941176471,68,33835200,118299,589431400,95925,219786800,78794,1428624200,110847,aer
98,31,0.25,12,31283700,109995,228111700,49198,140538500,41074,734167000,102505,aer
99,22,0.358974358974359,39,30647400,107568,582884800,68049,420170500,59554,3384500800,109139,aer
